,Actual sales,Forecasted sales,max_sales,min_sales
317,14,17,25,9
318,4,19,27,11
319,20,27,35,19
320,17,25,33,17
321,16,23,31,15
322,36,24,32,16
323,29,26,34,18
324,4,19,27,11
325,40,24,32,16
326,22,29,37,21
327,14,20,28,12
328,14,18,26,10
329,14,18,26,10
330,14,20,28,12
331,26,31,39,23
332,48,23,31,15
333,20,31,39,23
334,37,25,33,17
335,24,32,40,24
336,42,26,34,18
337,19,29,37,21
338,37,23,31,15
339,18,28,36,20
340,21,26,34,18
341,18,23,31,15
342,4,18,26,10
343,34,29,37,21
344,19,22,30,14
345,24,33,41,25
346,32,25,33,17
347,33,26,34,18
348,50,25,33,17
349,36,27,35,19
350,28,26,34,18
351,19,30,38,22
352,58,26,34,18
353,20,29,37,21
354,32,30,38,22
355,23,30,38,22
356,24,32,40,24
357,35,27,35,19
358,46,26,34,18
359,30,30,38,22
360,36,28,36,20
361,24,32,40,24
362,48,25,33,17
363,12,17,25,9
364,6,20,28,12
365,14,19,27,11
366,22,29,37,21
367,30,27,35,19
368,34,26,34,18
369,16,26,34,18
370,22,26,34,18
371,18,23,31,15
372,14,17,25,9
373,14,17,25,9
374,14,16,24,8
375,14,16,24,8
376,14,15,23,7
377,14,16,24,8
378,14,16,24,8
379,14,16,24,8
380,33,21,29,13
381,10,26,34,18
382,26,22,30,14
383,10,16,24,8
384,16,17,25,9
385,4,19,27,11
386,26,25,33,17
387,26,25,33,17
388,20,16,24,8
389,14,16,24,8
390,8,16,24,8
391,16,16,24,8
392,16,15,23,7
393,16,15,23,7
394,20,14,22,6
395,20,14,22,6
396,18,15,23,7
397,4,19,27,11
398,10,17,25,9
399,10,13,21,5
400,16,13,21,5
401,22,14,22,6
402,14,13,21,5
403,22,16,24,8
404,28,19,27,11
405,10,23,31,15
406,18,18,26,10
407,14,14,22,6
408,10,17,25,9
409,10,16,24,8
410,14,15,23,7
411,14,16,24,8
412,24,30,38,22
413,22,15,23,7
414,10,16,24,8
415,10,16,24,8
416,18,15,23,7
417,22,15,23,7
418,10,16,24,8
419,18,16,24,8
420,36,23,31,15
421,8,27,35,19
422,28,25,33,17
423,18,27,35,19
424,40,22,30,14
425,36,21,29,13
426,6,23,31,15
427,30,23,31,15
428,26,32,40,24
429,39,22,30,14
430,14,17,25,9
431,14,18,26,10
432,14,17,25,9
433,26,32,40,24
434,27,33,41,25
435,30,26,34,18
436,14,17,25,9
437,14,16,24,8
438,32,25,33,17
439,26,33,41,25
440,40,24,32,16
441,46,28,36,20
442,26,33,41,25
443,38,30,38,22
444,36,29,37,21
445,16,30,38,22
446,20,30,38,22
447,28,27,35,19
448,48,24,32,16
449,16,26,34,18
450,34,26,34,18
451,24,32,40,24
452,26,33,41,25
453,32,26,34,18
454,22,26,34,18
455,24,33,41,25
456,38,24,32,16
457,23,23,31,15
458,34,26,34,18
459,34,27,35,19
460,6,19,27,11
461,18,24,32,16
462,20,24,32,16
463,21,24,32,16
464,20,23,31,15
465,16,23,31,15
466,35,25,33,17
467,22,22,30,14
