,Actual sales,Forecasted sales,max_sales,min_sales
317,68,70,82,58
318,78,76,88,64
319,77,76,88,64
320,77,76,88,64
321,79,76,88,64
322,85,79,91,67
323,97,85,97,73
324,80,79,91,67
325,71,75,87,63
326,93,84,96,72
327,99,87,99,75
328,86,83,95,71
329,84,82,94,70
330,87,83,95,71
331,81,81,93,69
332,66,75,87,63
333,90,84,96,72
334,88,83,95,71
335,67,75,87,63
336,66,74,86,62
337,91,83,95,71
338,79,78,90,66
339,77,77,89,65
340,80,78,90,66
341,58,69,81,57
342,79,76,88,64
343,71,73,85,61
344,79,76,88,64
345,62,69,81,57
346,64,68,80,56
347,65,69,81,57
348,88,78,90,66
349,70,71,83,59
350,56,66,78,54
351,77,73,85,61
352,78,74,86,62
353,96,85,97,73
354,96,87,99,75
355,45,68,80,56
356,78,77,89,65
357,77,76,88,64
358,102,89,101,77
359,84,80,92,68
360,83,80,92,68
361,55,70,82,58
362,67,73,85,61
363,60,70,82,58
364,56,68,80,56
365,39,64,76,52
366,75,72,84,60
367,71,70,82,58
368,68,68,80,56
369,53,62,74,50
370,63,64,76,52
371,76,68,80,56
372,75,68,80,56
373,71,67,79,55
374,71,66,78,54
375,52,61,73,49
376,62,63,75,51
377,74,70,82,58
378,84,74,86,62
379,53,64,76,52
380,78,72,84,60
381,102,87,99,75
382,77,76,88,64
383,74,74,86,62
384,79,76,88,64
385,70,72,84,60
386,77,75,87,63
387,77,75,87,63
388,69,71,83,59
389,50,65,77,53
390,17,60,72,48
391,77,71,83,59
392,53,63,75,51
393,54,62,74,50
394,84,71,83,59
395,63,64,76,52
396,72,66,78,54
397,52,61,73,49
398,45,59,71,47
399,36,57,69,45
400,47,57,69,45
401,74,63,75,51
402,50,60,72,48
403,52,59,71,47
404,34,57,69,45
405,41,57,69,45
406,69,61,73,49
407,66,60,72,48
408,66,59,71,47
409,61,58,70,46
410,53,56,68,44
411,71,63,75,51
412,67,61,73,49
413,81,69,81,57
414,61,62,74,50
415,67,64,76,52
416,63,63,75,51
417,64,66,78,54
418,63,65,77,53
419,69,67,79,55
420,46,60,72,48
421,61,62,74,50
422,47,60,72,48
423,46,59,71,47
424,45,58,70,46
425,49,57,69,45
426,71,64,76,52
427,58,59,71,47
428,41,56,68,44
429,62,59,71,47
430,53,57,69,45
431,59,57,69,45
432,71,63,75,51
433,52,57,69,45
434,52,57,69,45
435,54,57,69,45
436,60,58,70,46
437,59,58,70,46
438,73,64,76,52
439,78,68,80,56
440,61,63,75,51
441,73,68,80,56
442,58,63,75,51
443,56,62,74,50
444,55,62,74,50
445,65,64,76,52
446,68,66,78,54
447,69,67,79,55
448,65,65,77,53
449,64,65,77,53
450,61,63,75,51
451,65,64,76,52
452,83,73,85,61
453,64,66,78,54
454,45,61,73,49
455,83,74,86,62
456,71,69,81,57
457,76,71,83,59
458,79,73,85,61
459,67,68,80,56
460,84,75,87,63
461,64,68,80,56
462,65,67,79,55
463,59,65,77,53
464,57,64,76,52
465,71,68,80,56
466,71,70,82,58
467,76,72,84,60
468,57,65,77,53
469,70,69,81,57
470,90,78,90,66
471,70,70,82,58
472,77,73,85,61
473,69,70,82,58
474,76,73,85,61
475,87,78,90,66
476,71,72,84,60
477,52,65,77,53
