,Actual sales,Forecasted sales,max_sales,min_sales
317,7,6,11,1
318,5,6,11,1
319,4,6,11,1
320,2,5,10,0
321,3,5,10,0
322,4,5,10,0
323,5,5,10,0
324,3,5,10,0
325,9,6,11,1
326,3,5,10,0
327,4,6,11,1
328,3,5,10,0
329,3,5,10,0
330,3,5,10,0
331,7,6,11,1
332,6,6,11,1
333,10,6,11,1
334,15,8,13,3
335,10,9,14,4
336,7,9,14,4
337,3,7,12,2
338,4,8,13,3
339,7,8,13,3
340,5,7,12,2
341,13,9,14,4
342,3,6,11,1
343,4,7,12,2
344,7,7,12,2
345,9,7,12,2
346,4,6,11,1
347,7,6,11,1
348,6,6,11,1
349,10,7,12,2
350,5,6,11,1
351,9,7,12,2
352,8,6,11,1
353,4,6,11,1
354,6,6,11,1
355,4,6,11,1
356,6,6,11,1
357,2,6,11,1
358,9,6,11,1
359,7,6,11,1
360,4,6,11,1
361,22,11,16,6
362,16,22,27,17
363,27,12,17,7
364,10,11,16,6
365,10,10,15,5
366,7,10,15,5
367,11,10,15,5
368,10,10,15,5
369,12,11,16,6
370,11,10,15,5
371,5,10,15,5
372,8,10,15,5
373,8,9,14,4
374,4,7,12,2
375,5,7,12,2
376,3,6,11,1
377,6,6,11,1
378,6,6,11,1
379,3,6,11,1
380,6,6,11,1
381,3,5,10,0
382,5,6,11,1
383,5,6,11,1
384,4,6,11,1
385,3,6,11,1
386,6,6,11,1
387,6,6,11,1
388,4,6,11,1
389,7,6,11,1
390,3,6,11,1
391,1,5,10,0
392,8,6,11,1
393,1,5,10,0
394,7,6,11,1
395,7,6,11,1
396,5,6,11,1
397,3,5,10,0
398,4,5,10,0
399,1,5,10,0
400,6,5,10,0
401,1,5,10,0
402,6,5,10,0
403,4,5,10,0
404,5,5,10,0
405,8,6,11,1
406,2,5,10,0
407,6,6,11,1
408,5,5,10,0
409,9,6,11,1
410,5,6,11,1
411,3,5,10,0
412,4,6,11,1
413,4,6,11,1
414,10,6,11,1
415,7,6,11,1
416,11,7,12,2
417,6,6,11,1
418,13,8,13,3
419,8,7,12,2
420,2,6,11,1
421,4,6,11,1
422,3,6,11,1
423,3,6,11,1
424,3,6,11,1
425,15,9,14,4
426,7,9,14,4
427,14,10,15,5
428,6,9,14,4
429,6,8,13,3
430,7,9,14,4
431,11,9,14,4
432,8,8,13,3
433,9,8,13,3
434,4,7,12,2
435,4,7,12,2
436,8,7,12,2
437,13,8,13,3
438,10,8,13,3
439,7,7,12,2
440,6,7,12,2
441,12,8,13,3
442,11,8,13,3
443,8,8,13,3
444,5,7,12,2
445,8,8,13,3
446,8,8,13,3
447,7,7,12,2
448,5,7,12,2
449,4,6,11,1
450,4,6,11,1
451,1,6,11,1
452,3,6,11,1
453,6,6,11,1
454,9,6,11,1
455,6,6,11,1
456,2,5,10,0
457,4,5,10,0
458,2,5,10,0
459,2,5,10,0
460,7,6,11,1
461,2,5,10,0
462,3,5,10,0
463,5,6,11,1
464,4,5,10,0
465,9,6,11,1
466,5,6,11,1
467,4,6,11,1
468,5,6,11,1
469,4,6,11,1
470,4,6,11,1
471,6,6,11,1
472,7,6,11,1
473,7,6,11,1
474,9,6,11,1
475,5,6,11,1
476,3,6,11,1
477,3,6,11,1
