,Actual sales,Forecasted sales,max_sales,min_sales
317,50,51,59,43
318,57,52,60,44
319,60,54,62,46
320,50,53,61,45
321,47,52,60,44
322,53,52,60,44
323,52,52,60,44
324,57,52,60,44
325,44,51,59,43
326,50,51,59,43
327,60,53,61,45
328,62,54,62,46
329,55,52,60,44
330,48,52,60,44
331,41,51,59,43
332,38,50,58,42
333,47,51,59,43
334,43,50,58,42
335,48,51,59,43
336,37,49,57,41
337,36,48,56,40
338,47,49,57,41
339,39,48,56,40
340,55,47,55,39
341,50,46,54,38
342,40,44,52,36
343,46,45,53,37
344,48,46,54,38
345,46,46,54,38
346,39,46,54,38
347,47,46,54,38
348,44,46,54,38
349,36,46,54,38
350,53,47,55,39
351,50,48,56,40
352,40,46,54,38
353,41,45,53,37
354,48,46,54,38
355,40,46,54,38
356,35,40,48,32
357,47,45,53,37
358,57,47,55,39
359,45,46,54,38
360,42,46,54,38
361,45,47,55,39
362,48,47,55,39
363,35,40,48,32
364,24,35,43,27
365,33,35,43,27
366,33,35,43,27
367,40,44,52,36
368,41,46,54,38
369,37,44,52,36
370,43,41,49,33
371,39,40,48,32
372,39,41,49,33
373,28,34,42,26
374,31,32,40,24
375,25,31,39,23
376,41,36,44,28
377,31,32,40,24
378,30,32,40,24
379,26,32,40,24
380,36,35,43,27
381,31,32,40,24
382,32,31,39,23
383,23,30,38,22
384,24,28,36,20
385,35,29,37,21
386,32,28,36,20
387,25,30,38,22
388,15,27,35,19
389,22,27,35,19
390,24,27,35,19
391,19,27,35,19
392,17,26,34,18
393,24,26,34,18
394,34,26,34,18
395,18,26,34,18
396,14,26,34,18
397,25,26,34,18
398,19,25,33,17
399,10,25,33,17
400,22,25,33,17
401,21,25,33,17
402,27,25,33,17
403,22,25,33,17
404,22,25,33,17
405,27,25,33,17
406,28,25,33,17
407,24,25,33,17
408,24,25,33,17
409,34,25,33,17
410,28,25,33,17
411,40,30,38,22
412,36,30,38,22
413,28,28,36,20
414,36,31,39,23
415,39,32,40,24
416,32,30,38,22
417,27,29,37,21
418,32,30,38,22
419,43,35,43,27
420,29,31,39,23
421,25,30,38,22
422,25,31,39,23
423,25,30,38,22
424,31,30,38,22
425,28,30,38,22
426,36,33,41,25
427,38,33,41,25
428,41,34,42,26
429,33,30,38,22
430,27,31,39,23
431,34,29,37,21
432,29,29,37,21
433,37,33,41,25
434,24,30,38,22
435,30,30,38,22
436,30,30,38,22
437,33,31,39,23
438,45,36,44,28
439,38,36,44,28
440,35,31,39,23
441,39,35,43,27
442,42,36,44,28
443,33,32,40,24
444,35,32,40,24
445,27,31,39,23
446,33,32,40,24
447,26,32,40,24
448,31,32,40,24
449,34,34,42,26
450,35,32,40,24
451,32,31,39,23
452,57,41,49,33
453,32,33,41,25
454,37,38,46,30
455,46,40,48,32
456,39,40,48,32
457,32,35,43,27
458,37,42,50,34
459,44,42,50,34
460,45,42,50,34
461,36,42,50,34
462,28,35,43,27
463,36,41,49,33
464,25,32,40,24
465,33,33,41,25
466,39,39,47,31
467,32,32,40,24
468,29,32,40,24
469,36,36,44,28
470,52,41,49,33
471,41,39,47,31
472,37,37,45,29
473,38,37,45,29
474,33,33,41,25
475,45,39,47,31
476,38,39,47,31
477,31,34,42,26
